time,sensor_id,port,axes_x,axes_y,axes_z,temperature
11:53.4,105,1,5385,2881,-14260,0
11:53.4,29,1,384,-3552,-1600,0
11:53.4,29,2,128,-112,3840,0
11:53.4,30,1,0,0,0,0
11:53.4,31,1,0,0,0,0
11:53.5,30,2,-1808,738,3856,0
11:53.5,31,2,0,0,0,0
11:53.5,73,1,0,0,0,0
11:53.5,73,2,0,0,0,8589
11:53.5,105,1,5610,2558,-14883,0
11:53.5,29,1,496,-3584,-1760,0
11:53.5,29,2,240,-160,4064,0
11:53.5,30,1,0,0,0,0
11:53.5,31,1,0,0,0,0
11:53.5,30,2,-1712,802,3696,0
11:53.5,30,2,-1680,866,3664,0
11:53.5,29,2,160,-144,3840,0
11:53.5,30,1,0,0,0,0
11:53.5,31,1,0,0,0,0
11:53.5,30,2,-1792,626,3616,0
11:53.6,31,2,0,0,0,0
11:53.6,73,1,0,0,0,0
11:53.6,73,2,0,0,0,8591
11:53.6,105,1,5427,2719,-14932,0
11:53.6,29,1,416,-3568,-1808,0
11:53.6,29,2,128,-224,3920,0
11:53.6,30,1,0,0,0,0
11:53.7,31,1,0,0,0,0
11:53.7,30,2,-1664,674,3600,0
11:53.7,31,2,0,0,0,0
11:53.7,73,1,0,0,0,0
11:53.7,30,1,0,0,0,0
11:05.7,31,1,0,0,0,0
11:53.7,30,2,-1840,834,3680,0
11:53.7,31,2,0,0,0,0
11:53.7,73,1,0,0,0,0
11:53.7,73,2,0,0,0,8587
11:53.7,30,1,0,0,0,0
11:53.7,31,1,0,0,0,0
11:53.7,30,2,-1728,690,3424,0
11:53.7,31,2,0,0,0,0
11:53.7,73,1,0,0,0,0
11:53.7,73,2,0,0,0,8591
11:53.8,105,1,5549,2439,-15213,0
11:53.8,29,1,480,-3680,-1664,0
11:53.8,29,2,208,-192,4016,0
11:53.8,30,1,0,0,0,0
11:53.8,31,1,0,0,0,0
11:53.8,30,2,-1728,754,3696,0
