time,x,y,z
50.521199,-1424.0,738.0,3920.0
50.677432,-1248.0,754.0,3888.0
50.942772000000005,-1280.0,802.0,3888.0
51.020879,-1360.0,658.0,3792.0
51.067742,-1280.0,754.0,3952.0
51.224265,-1312.0,866.0,3920.0
51.286442,-1264.0,754.0,3968.0
51.348927,-1280.0,754.0,3888.0
51.411728000000004,-1344.0,786.0,3728.0
51.521071000000006,-1296.0,738.0,3856.0
51.56762500000001,-1376.0,882.0,3968.0
51.817817000000005,-1264.0,738.0,3888.0
51.880356000000006,-1296.0,802.0,4048.0
52.005325000000006,-1328.0,754.0,3776.0
52.13418,-1152.0,706.0,3936.0
52.200519,-1200.0,738.0,4000.0
52.247401,-1232.0,754.0,3744.0
52.309664000000005,-1264.0,786.0,3968.0
52.356646000000005,-1344.0,770.0,3936.0
52.419283,-1328.0,738.0,3856.0
52.52854000000001,-1328.0,754.0,3840.0
52.606357,-1328.0,642.0,3904.0
52.653302000000004,-1248.0,754.0,3776.0
52.747288000000005,-1296.0,706.0,3856.0
52.809435,-1376.0,738.0,3888.0
52.841002,-1296.0,754.0,3904.0
52.887541000000006,-1328.0,738.0,3872.0
53.044036000000006,-1296.0,754.0,4016.0
53.090932,-1136.0,882.0,3808.0
53.168725,-1440.0,738.0,3872.0
53.200386,-1264.0,866.0,3824.0
53.247151,-1168.0,754.0,4016.0
53.324939,-1168.0,754.0,4096.0
53.403344000000004,-1200.0,786.0,4016.0
53.44991,-1168.0,802.0,3824.0
53.543935000000005,-1296.0,866.0,3968.0
53.653336,-1248.0,786.0,3776.0
53.700190000000006,-1248.0,818.0,3968.0
53.825201,-1296.0,802.0,3936.0
53.965414,-1312.0,706.0,3840.0
54.012278,-1296.0,690.0,3888.0
54.106479,-1216.0,754.0,3888.0
54.168832,-1136.0,738.0,3840.0
54.230972,-1152.0,690.0,3904.0
54.340616000000004,-1264.0,706.0,3888.0
54.387189000000006,-1280.0,770.0,4000.0
54.418432,-1168.0,818.0,3792.0
54.48115000000001,-1312.0,706.0,3936.0
54.621509,-1312.0,834.0,3792.0
54.683993,-1264.0,818.0,3936.0
54.887441,-1264.0,738.0,3904.0
55.074693,-1296.0,866.0,3888.0
55.168613,-1408.0,754.0,3808.0
55.215424000000006,-1232.0,770.0,3904.0
55.293226000000004,-1456.0,786.0,3936.0
55.465428,-1296.0,786.0,3808.0
55.527595000000005,-1280.0,754.0,3824.0
55.605798,-1312.0,802.0,3808.0
55.668469,-1280.0,642.0,3808.0
55.715282,-1200.0,722.0,3936.0
55.886838000000004,-1344.0,850.0,3776.0
55.98102900000001,-1344.0,738.0,3904.0
56.121891000000005,-1312.0,706.0,3920.0
56.262497,-1264.0,738.0,3920.0
56.278199,-1296.0,786.0,3856.0
56.324697,-1392.0,786.0,3824.0
56.434012,-1296.0,738.0,3936.0
56.543651000000004,-1328.0,706.0,3936.0
56.590546,-1200.0,674.0,3840.0
56.683953,-1200.0,754.0,4000.0
56.730851,-1264.0,850.0,3936.0
56.809297,-1440.0,802.0,3888.0
56.887342000000004,-1168.0,866.0,3808.0
56.933938000000005,-1248.0,818.0,3984.0
57.059161,-1168.0,802.0,4064.0
57.16821,-1264.0,642.0,3936.0
57.21544900000001,-1296.0,754.0,3920.0
57.277818,-1296.0,642.0,3904.0
57.434068,-1264.0,786.0,3920.0
57.527544000000006,-1232.0,754.0,3856.0
57.637150000000005,-1296.0,626.0,3968.0
57.715016000000006,-1328.0,738.0,3888.0
57.76212,-1280.0,706.0,3696.0
57.949600000000004,-1248.0,690.0,3904.0
58.02770700000001,-1328.0,738.0,3984.0
58.090079,-1232.0,706.0,3936.0
58.214877,-1296.0,818.0,3920.0
58.277636,-1232.0,834.0,3904.0
58.339854,-1232.0,610.0,3856.0
58.386983,-1248.0,706.0,3968.0
58.402649000000004,-1280.0,706.0,3888.0
58.449447000000006,-1296.0,674.0,3968.0
58.558548,-1200.0,706.0,3984.0
58.621338,-1232.0,786.0,4096.0
58.699411000000005,-1280.0,658.0,3840.0
58.74624300000001,-1296.0,802.0,3872.0
58.824328,-1264.0,754.0,3904.0
58.995906000000005,-1312.0,834.0,3904.0
59.058391,-1264.0,738.0,4000.0
59.215001,-1264.0,850.0,3968.0
59.308648000000005,-1280.0,802.0,3888.0
59.402361000000006,-1296.0,770.0,3888.0
59.558309,-1280.0,562.0,3888.0
59.621048,-1168.0,754.0,3952.0
59.683662000000005,-1328.0,770.0,3904.0
59.714519,-1296.0,738.0,3936.0
59.824071,-1264.0,754.0,4000.0
59.949145,-1344.0,914.0,3936.0
60.120964,-1280.0,770.0,4096.0
60.16780000000001,-1232.0,770.0,3920.0
60.230035,-1248.0,786.0,3872.0
60.323754,-1296.0,658.0,3872.0
60.402168,-1296.0,754.0,3984.0
60.41747,-1184.0,722.0,4048.0
60.479972000000004,-1248.0,786.0,3968.0
60.511545000000005,-1344.0,658.0,3968.0
60.620902,-1344.0,834.0,3808.0
60.77709600000001,-1168.0,674.0,3600.0
60.839486,-1376.0,738.0,3904.0
60.902088000000006,-1200.0,738.0,3872.0
61.026991,-1280.0,786.0,3776.0
61.182936000000005,-1232.0,754.0,3968.0
61.375679000000005,-1296.0,786.0,3968.0
61.453497000000006,-1296.0,658.0,3936.0
61.547527,-1200.0,866.0,3920.0
61.641296000000004,-1280.0,898.0,3936.0
61.719396,-1296.0,834.0,3952.0
61.781823,-912.0,818.0,3840.0
61.875482000000005,-1248.0,754.0,4064.0
61.984864,-1312.0,770.0,3936.0
62.047401,-1232.0,738.0,3968.0
62.062739,-1296.0,786.0,3824.0
62.109933000000005,-1168.0,882.0,3888.0
62.156708,-1280.0,770.0,3888.0
62.265767000000004,-1168.0,770.0,3888.0
62.391086,-1328.0,754.0,4000.0
62.484671000000006,-1232.0,786.0,3968.0
62.578233000000004,-1264.0,834.0,3920.0
62.6251,-1344.0,818.0,3808.0
62.703456,-1392.0,754.0,3984.0
62.765913000000005,-1264.0,626.0,3872.0
62.781305,-1168.0,706.0,3920.0
62.922234,-1376.0,738.0,3968.0
63.094008,-1264.0,802.0,3968.0
